"gene","spearman_rho","p_value","fdr"
"CCDC15",0.749477351916376,1.71859073521411e-08,7.11678666708199e-07
"WDPCP",0.740766550522648,3.06921263590814e-08,1.20450543592052e-06
"WRN",0.72822299651568,6.80391917280106e-08,2.46399072900724e-06
"ALS2",0.725783972125436,7.90307358710475e-08,2.81851249848856e-06
"KLHL11",0.703135888501742,2.95505133871907e-07,9.20827376462311e-06
"POLR3D",0.698257839721255,3.86415993490662e-07,1.1767496139434e-05
"CSNK2A3",0.694076655052265,4.84279984454051e-07,1.45820356795723e-05
"NCKAP1",0.687108013937282,6.99706926123374e-07,2.03185792989913e-05
"DLX4",0.684493709400677,8.01217911436269e-07,2.29817229367477e-05
"SLC20A2",0.681707317073171,9.24274252833153e-07,2.60728732464618e-05
"GULP1",0.679965156794425,1.00985157994433e-06,2.83166005802328e-05
"DCTN6",0.676480836236934,1.20337201128537e-06,3.30030052042432e-05
"SLC10A5",0.674506730026977,1.327669820113e-06,3.59909799934967e-05
"NR2F6",0.674071170986536,1.35664365848161e-06,3.67233454393312e-05
"SUGCT",0.673170731707317,1.41840113217004e-06,3.82295787907727e-05
"EXOSC4",0.671777003484321,1.51912468919912e-06,4.07103714924091e-05
"ZNF326",0.671777003484321,1.51912468919912e-06,4.07103714924091e-05
"PYCR1",0.670034843205575,1.65430461318192e-06,4.42066954966948e-05
"MTMR2",0.66602787456446,2.00838852633707e-06,5.23268893966071e-05
"TMEM237",0.663414634146342,2.27563776635471e-06,5.8880950150411e-05
"EHHADH",0.663240418118467,2.29457024255779e-06,5.92890401930324e-05
"ERLIN2",0.661672473867596,2.47161311914249e-06,6.3775777856938e-05
"APLF",0.661324041811847,2.51262742788256e-06,6.46562111380643e-05
"KCTD9",0.659059233449477,2.79487873105252e-06,7.13321498174344e-05
"MIPOL1",0.658885017421603,2.81775649959582e-06,7.17208876199701e-05
"EPB41L5",0.65801393728223,2.93475442817309e-06,7.41954963855781e-05
"ZSCAN20",0.655052264808363,3.36683199340938e-06,8.40990697261871e-05
"ACVR2B",0.653832752613241,3.56118920806317e-06,8.88355696197566e-05
"ZNF283",0.653484320557492,3.61858650059724e-06,8.95528550985536e-05
"ZNF2",0.652090592334495,3.85679273575243e-06,9.51968091183944e-05
"KDM4D",0.651160765459338,4.02364588166662e-06,9.89247353790094e-05
"FAM83H",0.650696864111498,4.10935045377827e-06,9.99835345816167e-05
"AGBL5",0.649244305681398,4.38868605058191e-06,0.000105955420364049
"TET1",0.648257839721255,4.58823301865805e-06,0.000110064786696939
"ZFYVE9",0.647038327526132,4.84644524371436e-06,0.000115227460490289
"SFMBT1",0.646689895470383,4.92263616362073e-06,0.000116890799738432
"METAP1D",0.645993031358885,5.0783314392774e-06,0.000120283357915915
"DCAF16",0.644076655052265,5.5301307905631e-06,0.000130326285804238
"WDR43",0.643205574912892,5.74745961039995e-06,0.000134434656897123
"ZNF221",0.643205574912892,5.74745961039995e-06,0.000134434656897123
"TMEM184C",0.641637630662021,6.15853363427748e-06,0.000141926206935395
"EXTL2",0.639024390243903,6.90410102436661e-06,0.000157177222228268
"ANKS1B",0.638501742160279,7.06281276681201e-06,0.000160401095269524
"OSCP1",0.638501742160279,7.06281276681201e-06,0.000160401095269524
"C19orf57",0.637630662020906,7.3347930936941e-06,0.000165775161017599
"GNL3",0.637630662020906,7.3347930936941e-06,0.000165775161017599
